,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,pl_dens
0,11 Com b,12.2,4914.89848585,323.21,,1.178,,0.238,4874.0,13.76,14.9
1,11 UMi b,12.3,4684.8142,516.21997,,1.53,,0.08,4213.0,29.79,13.8
2,14 And b,13.1,1131.15130051,186.76,,0.775,,0.0,4888.0,11.55,2.76
3,14 Her b,12.5,2828.6728223,1766.41,,2.839,,0.3683,5338.0,0.93,7.96
4,16 Cyg B b,13.5,565.7374,798.5,,1.66,,0.68,5750.0,1.13,1.26
5,17 Sco b,12.9,1373.01871824,578.38,,1.45,,0.06,4157.0,25.92,3.51
6,18 Del b,12.5,2926.24614325,982.85,,2.476,,0.024,4980.0,8.8,8.23
7,1RXS J160929.1-210524 b,18.647,3000.0,,1700.0,330.0,,,4060.0,1.31316,2.54
8,24 Boo b,13.9,280.64248338,30.33,,0.194,,0.032,4816.0,12.19,0.574
9,24 Sex b,13.4,632.46,452.8,,1.333,,0.09,5098.0,4.9,1.44
10,24 Sex c,13.9,273.32,883.0,,2.08,,0.29,5098.0,4.9,0.559
11,2M0437 b,13.0,1271.313628,,1450.0,118.0,,,3100.0,0.84,3.18
12,2MASS J01033563-5515561 AB b,12.3,4131.79,,,84.0,,,,,12.2
13,2MASS J01225093-2439505 b,11.209,7786.5,,1600.0,52.0,,,3530.0,0.36645,30.4
14,2MASS J02192210-3925225 b,16.14096,4417.837,,,156.0,,,3064.0,0.281,5.77
15,2MASS J0249-0557 c,12.4,3686.8095212,,,1950.0,,,2859.0,0.315959,10.6
16,2MASS J03590986+2009361 b,12.2,5720.911326,,2369.0,572.0,,,2943.0,0.289776,17.3
17,2MASS J04414489+2301513 b,12.6,2383.6,,,15.0,,,2936.0,0.231916,6.55
18,2MASS J11011926-7732383 b,11.9,8899.195396,,2677.0,266.0,,,,,29.0
19,2MASS J11550485-7919108 b,12.1,6356.56814,,2506.0,587.0,,,3021.0,0.600455,19.7
20,2MASS J12073346-3932539 b,15.69257298,1652.7077164,,1163.0,46.0,,,2825.0,0.21887,2.35
21,2MASS J19383260+4603591 b,13.4,603.877,406.0,,0.92,,0.33,29564.0,0.203,1.38
22,2MASS J21252752-8138278 b,12.4,3813.940884,,1616.0,7493.0,,,3592.0,0.672832,11.0
23,2MASS J22362452+4751425 b,12.3,3972.875,,,230.0,,,4045.0,0.641152,11.7
24,2MASS J22501512+2325342 b,11.9,9534.85221,,1600.0,518.0,,,3352.0,0.437589,31.1
25,4 UMa b,12.6,2511.48007211,270.27,,0.877,,0.453,4415.0,18.11,6.9
26,47 UMa b,13.2,804.08,1078.0,,2.1,,0.032,5872.0,1.21334,1.92
27,47 UMa c,14.2,171.621,2391.0,,3.6,,0.098,5872.0,1.21334,0.329
28,47 UMa d,13.5,521.22,14002.0,,11.6,,0.16,5872.0,1.21334,1.16
29,51 Eri b,,3464.3296363,9100.0,807.0,10.4,,0.57,7422.0,1.45,
30,51 Peg b,14.3,146.2018,4.230785,,0.0527,,0.013,5758.0,1.17561,0.275
31,55 Cnc B b,1.69,3.5,6.7994,,0.044,,0.0,3286.0,0.274,3.98
32,55 Cnc B c,2.16,5.3,33.747,,0.13,,0.0,3286.0,0.274,2.89
33,55 Cnc b,13.9,263.9785,14.651552,700.0,0.118,,0.0029,5198.0,0.98,0.54
34,55 Cnc c,8.51,54.4738,44.3936,,0.247,,0.088,5198.0,0.98,0.486
35,55 Cnc d,13.0,1232.493,4799.0,,5.6,,0.0913,5198.0,0.98,3.08
36,55 Cnc e,1.875,7.99,0.7365474,1958.0,0.01544,2657.8322,0.05,5172.0,0.943,6.66
37,55 Cnc f,7.59,44.812,260.58,,0.802,,0.063,5198.0,0.98,0.563
38,6 Lyn b,13.4,597.83523357,919.86,,2.028,,0.042,4941.0,4.94,1.37
39,61 Vir b,2.11,5.1,4.215,,0.050201,,0.12,5577.0,0.963,2.98
40,61 Vir c,4.46,18.2,38.021,,0.2175,,0.14,5577.0,0.963,1.13
41,61 Vir d,5.11,22.9,123.01,,0.476,,0.35,5577.0,0.963,0.943
42,7 CMa b,13.4,587.9855,735.1,,1.758,,0.06,4826.0,4.87,1.34
43,7 CMa c,13.9,276.5121,996.0,,2.153,,0.08,4826.0,4.87,0.566
44,70 Vir b,12.6,2380.45,116.688,,0.481,,0.3988,5495.0,1.89,6.54
45,75 Cet b,13.3,787.89662095,696.62,,1.912,,0.093,4809.0,10.38,1.84
46,75 Cet c,13.9,289.85950718,2051.62,,3.929,,0.023,4809.0,10.38,0.593
47,8 UMi b,13.5,524.41687155,93.31,,0.462,,0.062,4847.0,10.73,1.17
48,81 Cet b,13.1,1051.05854195,1005.57,,2.104,,0.037,4734.0,11.21,2.57
49,91 Aqr b,13.1,1017.0,181.4,,0.7,,0.027,4665.0,11.0,2.49
50,AB Aur b,12.5,2860.455663,,,93.9,,0.4,9770.0,2.95887,8.05
51,AB Pic b,12.3,4290.5,,,260.0,,,5285.0,0.999394,12.7
52,AF Lep b,13.0,1147.36054927,8905.0,1400.0,8.996,,0.015,6140.0,1.25,2.87
53,AT2021ueyL b,13.6,425.89006538,4168.69,,4.01,,,3680.0,,0.93
54,AU Mic b,4.79,8.99,8.463446,554.8,0.07,21.2,0.07,3540.0,0.862,0.49
55,AU Mic c,2.79,14.46,18.859023,424.7,0.119,7.3,0.18,3540.0,0.862,3.9
56,AU Mic d,1.02,1.053,12.73596,,,,0.00305,3678.0,0.744,5.45
57,AU Mic e,4.87,21.1,33.11,,,,,3665.0,0.82,1.0
58,BD+03 2562 b,12.7,2034.112,481.9,,1.3,,0.2,4095.0,32.35,5.46
59,BD+05 4868 A b,,6.2,1.271869,1820.0,0.0208,,,4596.0,0.69,
60,BD+14 4559 b,13.8,330.5432,268.94,,0.78,,0.29,4864.0,0.86,0.691
61,BD+15 2375 b,13.8,337.21763,153.22,,0.576,,0.001,4649.0,8.95,0.705
62,BD+15 2940 b,13.7,352.78,137.48,,0.539,,0.26,4796.0,14.7,0.754
63,BD+20 2457 b,12.1,6807.63,379.63,,1.45,,0.15,4137.0,49.0,21.1
64,BD+20 2457 c,12.4,3963.17,621.99,,2.01,,0.18,4137.0,49.0,11.4
65,BD+20 274 b,13.0,1334.886,578.2,,1.3,,0.21,4296.0,17.3,3.34
66,BD+20 594 b,2.57807,22.2481,41.6855,546.0,0.241,,0.0,5766.0,1.08,7.89
67,BD+37 3172 b,12.4,3368.9811142,1887.76,,4.65,,0.59,4500.0,50.24,9.71
68,BD+42 2315 b,14.2,174.80562385,123.05,,0.54,,0.73,4500.0,17.85,0.335
69,BD+45 564 b,13.6,432.24663352,307.88,,0.83,,0.12,5004.0,0.813064,0.944
70,BD+48 738 b,13.9,289.2253,392.6,,1.0,,0.2,4414.0,11.0,0.592
71,BD+48 740 b,13.5,540.311,733.0,,1.7,,0.76,4534.0,10.33,1.21
72,BD+49 828 b,13.5,508.5,2590.0,,4.2,,0.35,4943.0,7.6,1.14
73,BD+55 362 b,14.0,228.83645304,265.59,,0.78,,0.27,5012.0,0.896193,0.458
74,BD+60 1417 b,14.68376472,4767.426105,,1303.0,1662.0,,,4993.0,0.797,8.27
75,BD+63 1405 b,12.4,3305.4154328,1198.48,,2.06,,0.88,5000.0,0.804724,9.53
76,BD-06 1339 b,,1523.03372634,3.8728,,0.0428,,0.0,4324.0,0.686355,
77,BD-06 1339 c,8.38,53.0,125.94,,0.435,,0.31,4324.0,0.686355,0.495
78,BD-08 2823 b,,2948.49413174,5.6,,0.06,,0.15,4816.0,0.71,
79,BD-08 2823 c,12.5,104.0,237.6,,0.68,,0.19,4746.0,0.71,0.293
80,BD-10 3166 b,14.1,187.5197,3.48777,,0.04,,0.02,5393.0,0.91,0.368
81,BD-11 4672 b,14.1,206.5895,1634.0,,2.36,,0.05,4550.0,0.639,0.405
82,BD-11 4672 c,4.04,15.37,74.2,,0.3,,0.4,4550.0,0.639,1.28
83,BD-13 2130 b,12.5,3108.3774,714.29999,,1.66,,0.21,4545.0,19.17,8.75
84,BD-14 3065 b,21.59,3932.0,4.2889731,2001.0,0.0656,646.761,0.066,6935.0,2.35,2.15
85,BD-17 63 b,12.8,1639.99458012,655.57,,1.34,,0.5439,4714.0,0.74,4.3
86,BD-210397 b,14.0,214.0,1891.0,,2.63,0.02,0.1,4051.0,0.747,0.429
87,BD-210397 c,12.9,1525.5763536,6240.0,,5.9,0.0039,0.43,4051.0,0.747,3.91
88,BEBOP-3 b,14.2,177.34825111,547.0,,1.444,,0.247,6033.0,1.414,0.34
89,BEBOP-4 AB b,,8358.8871041,1823.5,,3.634,,0.428,5701.43,2.75645,
90,Barnard b,0.72,0.299,3.1542,438.0,0.0229,6.76,0.03,3195.0,0.185,4.4
91,Barnard c,0.743,0.335,4.1244,400.0,0.0274,,0.08,3195.0,0.185,4.49
92,Barnard d,0.694,0.263,2.3402,483.0,0.0188,,0.04,3195.0,0.185,4.32
93,Barnard e,0.637,0.193,6.7392,340.0,0.0381,,0.04,3195.0,0.185,4.1
94,CD Cet b,1.82,3.95,2.2907,464.0,0.0185,8.6,,3130.0,0.175,3.6
95,CD-35 2722 b,17.37392009,9375.9380065,,1800.0,67.0,,,3689.0,0.558549,9.82
96,CFBDSIR J145829+101343 b,12.4,3337.1,10037.5,370.0,2.6,,,580.5,,9.62
97,CFHTWIR-Oph 98 b,20.8487041,2479.0615746,8040000.0,1800.0,200.0,,,2320.0,0.245,1.5
98,CHXR 73 b,12.3,3994.486,,,210.0,,,3099.0,,11.8
99,CI Tau c,13.0,1144.1822652,25.2,,0.17,,0.58,3807.0,1.880857,2.86
100,COCONUTS-2 b,12.44196858,2542.627256,402000000.0,434.0,7506.0,,,3406.0,0.388,7.25
101,CT Cha b,24.66,5403.0,,2600.0,440.0,,,4403.0,1.679694,1.98
102,CWISEP J193518.59-154620.3 b,12.2,4926.3403085,,390.0,2.48,,,,,14.9
103,CoRoT-1 b,16.7,327.35,1.5089557,1898.0,0.02752,2852.63,0.0,5950.0,1.11,0.38
104,CoRoT-10 b,10.87,874.0,13.2406,600.0,0.1055,16.1089,0.53,5075.0,0.79,3.7
105,CoRoT-11 b,16.03,740.51,2.99433,1657.0,0.0436,1890.649,0.0,6440.0,1.37,0.99
106,CoRoT-12 b,16.14,291.438,2.828042,1442.0,0.04016,661.1334,0.07,5675.0,1.116,0.411
107,CoRoT-13 b,9.92,415.704,4.03519,1700.0,0.051,546.5339,0.0,5945.0,1.01,2.34
108,CoRoT-14 b,12.22,2415.4,1.51214,1952.0,0.027,,0.0,6035.0,1.21,7.3
109,CoRoT-16 b,13.11,170.032,5.35227,,0.0618,,0.33,5650.0,1.19,0.44
110,CoRoT-17 b,11.43,772.29,3.7681,1626.0,0.0461,,0.0,5740.0,1.59,2.82
111,CoRoT-18 b,14.68,1102.82,1.9000693,1550.0,0.0295,823.7009,0.08,5440.0,1.0,2.2
112,CoRoT-19 b,14.46,352.78,3.89713,2000.0,0.0518,1103.809,0.047,6090.0,1.65,0.71
113,CoRoT-2 b,16.432,1102.82,1.7429935,1521.0,0.02798,932.9076,0.0143,5625.0,0.906,1.47
114,CoRoT-20 b,9.41556,1366.669,9.24285,1024.0,0.09,180.8704,0.59,5880.0,1.02,8.87
115,CoRoT-20 c,12.2,5403.11,1675.0,,2.9,,0.6,5880.0,1.02,16.4
116,CoRoT-21 b,14.5717,718.2958,2.72474,,0.0417,,0.0,6200.0,1.95,1.36
117,CoRoT-22 b,4.88,12.2,9.75598,885.0,0.092,,0.077,5939.0,1.136,0.249
118,CoRoT-23 b,11.77,889.9,3.6313,1660.0,0.048,,0.16,5900.0,1.61,3.0
119,CoRoT-24 b,3.7,5.7,5.1134,1070.0,0.056,,0.0,4950.0,0.86,0.9
120,CoRoT-24 c,5.0,28.0,11.759,850.0,0.098,,0.0,4950.0,0.86,1.3
121,CoRoT-25 b,12.11,85.81,4.86069,1330.0,0.0578,,0.0,6040.0,1.19,0.15
122,CoRoT-26 b,14.12,165.26,4.20474,1600.0,0.0526,,0.0,5590.0,1.79,0.28
123,CoRoT-27 b,11.287,3302.11,3.57532,1500.0,0.0476,,0.065,5900.0,1.08,12.6
124,CoRoT-28 b,10.704595,153.82972,5.20851,,0.0603,,0.047,5150.0,1.78,0.69
125,CoRoT-29 b,10.0881,270.1555,2.85057,,0.0386,,0.082,5260.0,0.9,1.45
126,CoRoT-3 b,11.32,6883.91,4.2568,1695.0,0.05783,,0.0,6740.0,1.56,26.4
127,CoRoT-30 b,11.309881,921.707,9.06005,,0.0844,,0.007,5650.0,0.91,3.45
128,CoRoT-31 b,16.36514,266.9772,4.62941,,0.0586,,0.02,5700.0,2.15,0.33
129,CoRoT-32 b,6.38913,47.6745,6.71837,938.0,0.071,132.26,,5970.0,0.79,1.1
130,CoRoT-35 b,18.83108758,349.6112477,3.22748,1747.0,0.0429,,0.0,6390.0,1.65,0.29
131,CoRoT-36 b,15.80466279,216.12331676,5.616531,1567.0,0.066,,0.0,6730.0,1.52,0.25
132,CoRoT-4 b,13.34,228.83,9.20205,1074.0,0.09,203.9517,0.0,6190.0,1.17,0.525
133,CoRoT-5 b,15.558,148.42,4.0378962,1438.0,0.04947,786.2949,0.09,6100.0,1.186,0.217
134,CoRoT-6 b,13.068,940.74,8.886593,1017.0,0.0855,,0.1,6090.0,1.025,2.32
135,CoRoT-7 b,1.68135,4.07660518,0.85359163,1756.0,0.017016,,0.0,5275.0,0.83,9.355
136,CoRoT-7 c,2.83,8.4,3.698,,0.046,,0.0,5256.0,0.864273,2.04
137,CoRoT-7 d,4.31,17.142,8.966,,,,,5250.0,0.8389,1.18
138,CoRoT-8 b,6.39,69.92,6.21229,870.0,0.063,,0.0,5080.0,0.77,1.6
139,CoRoT-9 b,11.948794,266.9772,95.272656,420.0,0.4021,,0.133,5625.0,0.96,0.86
140,DE CVn b,12.4,3823.27330161,4098.1,,5.75,,0.0,3579.0,0.424754,11.0
141,DENIS-P J082303.1-491201 b,11.9,9057.77,246.36,,0.36,,0.345,,,29.5
142,DH Tau b,30.2643,3496.0,,2200.0,330.0,,,4371.0,0.27,0.693
143,DMPP-1 b,4.26,16.8,17.812,877.0,0.1423,,0.2,6196.0,1.26,1.19
144,DMPP-1 c,3.31,10.94,10.03,1239.0,0.0973,,0.22,6196.0,1.26,1.66
145,DMPP-1 d,2.02,4.72,3.1417,1632.0,0.04467,,0.36,6196.0,1.26,3.15
146,DMPP-1 e,1.86,4.13,5.516,1314.0,0.0651,,0.07,6196.0,1.26,3.53
147,DMPP-2 b,14.2,171.48,5.203,1000.0,0.06638,,0.06,6500.0,1.78,0.329
148,DMPP-2 c,8.26,51.79,3.168,,0.04789,,0.28,6500.0,1.78,0.505
149,DMPP-2 d,11.6,91.79,16.491,,0.1432,,0.1,6500.0,1.78,0.323
150,DMPP-3 A b,1.44,2.67,5.59,854.0,0.05958,,0.42,5138.0,0.91,4.91
151,DMPP-4 b,3.53,12.2,3.4982,,0.04853,,0.063,6400.0,1.38,1.52
152,DMPP-6 b,2.28,5.8,7.6027,,0.0779,,0.34,6182.09,1.27,2.69
153,DMPP-6 c,3.74,13.47,36.441,,0.2206,,0.31,6182.09,1.27,1.41
154,DMPP-7 b,9.13,61.39,4.984,,0.05873,,0.1,5996.82,1.53949,0.443
155,DMPP-8 b,10.8,81.09,62.915,,0.3098,,0.275,6009.0,1.24,0.354
156,DMPP-9 b,3.89,14.43,12.733,,0.1097,,0.25,6092.0,1.26,1.35
157,DP Leo b,12.7,1995.88832,10220.0,,8.19,,0.39,13500.0,0.0115,5.35
158,DS Tuc A b,5.7,413.179,8.138268,850.0,,115.8276,0.0,5428.0,0.964,
159,EPIC 201170410.02,1.047,1.15,6.7987,,0.0349,,0.0,3648.0,0.282,5.51
160,EPIC 201238110 b,1.87,4.16,28.1656,,,,,3587.0,0.374,3.5
161,EPIC 201427007 b,1.5,2.86,0.72091,,,,,5633.0,0.94,4.66
162,EPIC 201497682 b,0.692,0.26,2.13174,,,,,4991.0,0.554,4.31
163,EPIC 201595106 b,1.565,7.67,0.87724,2038.0,0.0177,2852.0,0.0,5679.0,0.98,11.1
164,EPIC 201615463 c,1.22,1.98,3.80464,,,,,5960.0,1.61,5.99
165,EPIC 201754305 d,1.03,1.08,2.71578,,,,,4761.0,0.544,5.43
166,EPIC 201757695.02,0.90819,0.688,2.0478,,0.0296,,0.0,4520.0,0.655,5.05
167,EPIC 201833600 c,1.0,0.972,3.96151,,,,,4326.0,0.634,5.34
168,EPIC 201841433 b,1.04,1.12,4.1698,,0.035,,,5053.0,0.628461,5.47
169,EPIC 205950854 c,1.31,2.27,8.050722,960.6,,,,5502.7,0.83,5.55
170,EPIC 206024342 b,1.7,3.53,4.50756,,,,,5724.0,0.823,3.95
171,EPIC 206024342 c,1.4,2.54,0.911724,,,,,5724.0,1.1,5.09
172,EPIC 206024342 d,2.6,7.27,14.647531,,,,,5724.0,1.1,2.27
173,EPIC 206032309 b,1.01,1.01,2.87814,,,,,3489.0,0.37344,5.39
174,EPIC 206042996 b,1.7,3.53,5.2986,,,,,4114.0,0.5,3.95
175,EPIC 206042996 c,1.2,1.87,0.354884,,,,,4114.0,0.5,5.95
176,EPIC 206215704 b,1.0,0.972,2.255436,,,,,3297.0,0.25,5.34
177,EPIC 206317286 b,0.96,0.84,1.58252,,,,,4752.0,0.669,5.22
178,EPIC 206317286 c,2.094,5.03,17.515472,,,,,4752.0,0.758,3.01
179,EPIC 211822797 b,1.92,4.35,21.1701963,431.0,0.1195,3.5,0.06,4057.0,0.58,3.38
180,EPIC 211945201 b,5.76,11.0,19.49221,817.0,0.1493,101.0,0.0,6069.0,1.39,0.33
181,EPIC 212297394 b,1.48,2.79,2.289363,1149.0,,,,5171.0,0.8,4.73
182,EPIC 212297394 c,2.27,5.77,5.213965,866.0,,,,5171.0,0.8,2.71
183,EPIC 212424622 b,2.17,5.35,18.0983,,,,,5782.33,1.2247,2.88
184,EPIC 212499991 b,1.6,3.19,34.885,,,,,4982.79,0.757541,4.28
185,EPIC 212587672 b,1.26,2.13,15.28078,756.0,,,,6004.0,0.98,5.85
186,EPIC 212587672 c,2.32,5.99,23.228555,658.0,,,,6004.0,0.98,2.64
187,EPIC 212624936 b,1.2,1.87,0.578657,,,,,5765.0,0.93,5.95
188,EPIC 212624936 c,2.3,5.9,11.811437,,,,,5765.0,0.93,2.66
189,EPIC 212737443 b,2.586,7.2,13.603,536.0,0.098,,0.2,4684.0,0.673,2.29
190,EPIC 212737443 c,2.69,7.7,65.55,316.0,0.28,,0.2,4684.0,0.673,2.17
191,EPIC 220492298 b,0.99,0.937,0.762406,,,,,5620.0,0.89,5.31
192,EPIC 220554210 c,1.6,3.19,0.70531,,,,,5499.0,1.0,4.28
193,EPIC 220674823 b,1.606,7.54,0.57130782,2324.0,0.0132,4656.0,0.0,5578.0,0.99,10.684836
194,EPIC 220674823 c,2.712,7.9,13.340603,838.0,0.1078,70.0,0.18,5578.0,0.99,2.336119
195,EPIC 228836835 b,1.1,1.37,0.728113,932.0,,,,3782.0,0.32,5.66
196,EPIC 229004835 b,2.332,10.4,16.141132,804.0,0.1237,69.7,0.23,5868.0,0.999,4.49
197,EPIC 246851721 b,11.780659,953.49,6.180235,1401.0,0.07229,642.0,,6202.0,1.586,3.1
198,EPIC 248847494 b,12.44199,4131.79,3650.0,183.0,4.5,0.19,0.0,4898.0,2.7,
199,EPIC 249893012 b,1.95,8.75,3.5951,1616.0,0.047,1037.0,0.06,5430.0,1.71,6.39
200,EPIC 249893012 c,3.67,14.67,15.624,990.0,0.13,160.0,0.07,5430.0,1.71,1.62
201,EPIC 249893012 d,3.94,10.18,35.747,752.0,0.22,53.0,0.15,5430.0,1.71,0.91
202,FU Tau b,12.2,5085.28,,2375.0,800.0,,,2838.0,,15.4
203,G 192-15 b,1.02,1.03,2.27476,453.6,0.01723,7.06,0.0,2999.0,0.170718,5.33
204,G 192-15 c,3.87,14.3,1219.0,55.9,1.137,0.0016,0.676,2999.0,0.170718,1.36
205,G 196-3 b,12.0,8263.538582,,1670.0,350.0,,,3517.0,0.522432,26.3
206,G 261-6 b,1.1,1.37,5.4536,322.3,0.02971,1.8,0.0,2907.0,0.153162,5.66
207,G 264-012 b,1.39,2.5,2.30538,587.0,0.02279,20.5,,3326.0,0.305,5.12
208,G 264-012 c,1.76,3.75,8.0518,387.0,0.0525,3.87,,3326.0,0.305,3.78
209,G 268-110 b,1.13,1.52,1.43263,534.0,0.01283,13.57,0.0,,0.177,5.79
210,G 9-40 b,1.9,4.0,5.7459982,440.6,0.0418,6.27,0.0,3395.0,0.3026,3.2
211,GJ 1002 b,1.03,1.08,10.3465,230.9,0.0457,0.67,,3024.0,0.137,5.43
212,GJ 1002 c,1.1,1.36,21.202,181.7,0.0738,0.257,,3024.0,0.137,5.61
213,GJ 1061 b,1.04,1.11,3.2073,,0.021,3.8,0.05,2953.0,0.156,5.42
214,GJ 1061 c,1.19,1.81,6.6821,,0.0342,1.4,0.02,2953.0,0.156,5.9
215,GJ 1061 d,1.16,1.67,13.066,,0.054,0.6,0.04,2953.0,0.156,5.88
216,GJ 1132 b,1.19151465,1.83704819,1.62892911,583.8,0.0157,19.3,0.0118,3229.0,0.2211,5.97
217,GJ 1132 c,1.43,2.64,8.929,300.0,0.0476,,0.27,3270.0,0.2105,4.96
218,GJ 1148 b,11.9,96.7,41.38,,0.166,,0.38,3287.0,0.358519,0.315
219,GJ 1148 c,9.71,68.06,532.58,,0.912,,0.342,3287.0,0.358519,0.409
220,GJ 1151 c,3.25,10.62,389.7,,0.5714,,,3280.0,0.1781,1.7
221,GJ 1214 b,2.733,8.41,1.580404531,567.0,0.01505,17.2,0.0062,3101.0,0.2162,2.26
222,GJ 1252 b,1.193,1.32,0.5182331,1089.0,0.00915,233.0,0.0,3458.0,0.391,4.2
223,GJ 1265 b,2.63,7.4,3.6511,,0.026,,0.04,3236.0,0.192,2.24
224,GJ 1289 b,2.38,6.27,111.74,150.0,0.27,,0.0,3296.0,0.245012,2.56
225,GJ 143 b,2.61,22.7,35.61253,422.0,0.1915,7.0423,0.188,4640.0,0.695,7.0
226,GJ 15 A b,1.55,3.03,11.4407,550.0,0.072,,0.094,3607.0,0.38,4.47
227,GJ 15 A c,6.67,36.0,7600.0,,5.4,,0.27,3607.0,0.38,0.667
228,GJ 160.2 b,3.17,10.2,5.2354,,0.053,,0.06,4347.0,0.655173,1.76
229,GJ 163 b,3.25,10.6,8.63182,,0.0607,,0.073,3500.0,0.409738,1.7
230,GJ 163 c,2.5,6.8,25.63058,,0.1254,,0.099,3500.0,0.409738,2.39
231,GJ 163 d,5.92,29.4,603.95116,,1.0304,,0.373,3500.0,0.409738,0.779
232,GJ 179 b,13.8,301.93698665,2288.0,,2.41,,0.21,3370.0,0.38,0.631
233,GJ 180 b,2.43,6.49,17.133,,0.092,,0.07,3371.0,0.413049,2.49
234,GJ 180 c,2.41,6.4,24.329,,0.129,,0.09,3371.0,0.413049,2.51
235,GJ 180 d,2.66,7.56,106.3,,0.309,,0.14,3371.0,0.413049,2.21
236,GJ 2030 b,2.03,4.76742611,2.38129,,0.034,,0.239,5485.0,2.24104,3.13
237,GJ 2030 c,12.3,4069.15709482,25533.11353,,16.761,,0.041,5485.0,2.24104,12.0
238,GJ 2056 b,4.17,16.2,69.971,,0.283,,0.72,4069.95,0.709495,1.23
239,GJ 2126 b,13.6,413.1769291,272.7,,0.71,,0.85,4159.0,0.728,0.903
240,GJ 229 A c,2.87,8.58136699,121.93268,,0.384,,0.366,3564.0,0.46,1.99
241,GJ 229 b,3.97,14.93793513,579.47495,,1.086,,0.404,3564.0,0.46,1.31
242,GJ 238 b,0.566,0.126,1.7446999,758.0,0.02123,229.4579,,3485.0,0.4314,3.82
243,GJ 251 b,1.79,3.85,14.237,336.0,0.0808,2.37,0.0,3342.0,0.36,3.69
244,GJ 251 c,1.8,3.88,53.647,216.0,0.196,0.404,0.0,3342.0,0.36,3.66
245,GJ 27.1 b,3.66,13.0,15.819,,0.101,,0.08,3542.0,0.518887,1.46
246,GJ 273 b,1.51,2.89,18.6498,,0.091101,1.06,0.1,3382.0,0.293,4.61
247,GJ 273 c,1.06,1.18,4.7234,,0.036467,6.66,0.17,3382.0,0.293,5.44
248,GJ 3021 b,13.1,1071.04,133.71,350.0,0.49,,0.511,5540.0,0.9,2.62
249,GJ 3082 b,2.79,8.2,11.949,,0.079,,0.22,3910.0,0.465216,2.07
250,GJ 3090 b,2.18,4.52,2.85310198,723.0,0.0316,45.4,0.25,3707.0,0.516,2.4
251,GJ 3090 c,3.14,10.0,15.9407,407.2,0.0997,4.58,0.0,3707.0,0.516,1.77
252,GJ 3138 b,1.18,1.78,1.22003,,0.0197,118.1,0.19,3717.0,0.5,5.95
253,GJ 3138 c,1.88,4.18,5.974,,0.057,13.9,0.11,3717.0,0.5,3.46
254,GJ 3138 d,3.23,10.5,257.8,,0.698,0.1,0.32,3717.0,0.5,1.71
255,GJ 317 b,13.3,794.5,695.69,,1.138,,0.0826,3496.0,0.403,1.86
256,GJ 317 c,13.6,454.49462201,6500.0,,5.04,,0.217,3496.0,0.403,0.993
257,GJ 3222 b,3.4,11.44182265,10.66669,,0.091,,0.929,5257.46,0.931389,1.6
258,GJ 328 b,13.3,797.74930157,3771.0,,4.11,,0.227,3897.0,0.63,1.86
259,GJ 328 c,4.91,21.4,241.8,,0.657,,,3897.0,0.63,0.993
260,GJ 3293 b,5.19,23.54,30.5987,,0.14339,1.07,0.06,3466.0,0.404,0.925
261,GJ 3293 c,4.87,21.09,122.6196,,0.36175,0.17,0.11,3466.0,0.404,1.0
262,GJ 3293 d,2.67,7.6,48.1345,,0.19394,0.59,0.12,3466.0,0.404,2.19
263,GJ 3293 e,1.63,3.28,13.2543,,0.08208,3.34,0.21,3466.0,0.404,4.16
264,GJ 3323 b,1.23,2.02,5.3636,,0.03282,2.58,0.23,3159.0,0.119,5.96
265,GJ 3323 c,1.32,2.31,40.54,,0.1264,0.17,0.17,3159.0,0.119,5.52
266,GJ 3341 b,2.46,6.6,14.207,,0.089,,0.31,3526.0,0.439,2.44
267,GJ 338 B b,3.25,10.6,24.422,391.0,0.142,,0.109,4014.0,0.58,1.7
268,GJ 341 b,0.88,4.0,7.57686,629.0,,13.8,0.0,3770.0,0.5066,
269,GJ 3470 b,4.57,13.9,3.3366496,593.5,0.0355,29.6584,0.017,3600.0,0.547,0.8
270,GJ 3473 b,1.264,1.86,1.1980035,773.0,0.01589,59.4,0.0,3347.0,0.364,5.03
271,GJ 3473 c,2.63,7.41,15.509,329.1,0.0876,1.95,0.0,3347.0,0.364,2.24
272,GJ 3512 b,14.3,146.51889563,203.109,,0.3376,,0.4279,3141.0,0.139,0.275
273,GJ 3512 c,14.3,143.97626837,2354.0,,1.731,,0.089,3141.0,0.139,0.271
274,GJ 357 b,1.2,1.84,3.9306,518.0,0.036,12.6,,3505.0,0.337,5.6
275,GJ 357 c,1.66,3.4,9.1247,401.2,0.061,4.45,,3505.0,0.337,4.08
276,GJ 357 d,2.34,6.1,55.661,219.6,0.204,0.38,,3505.0,0.337,2.62
277,GJ 3634 b,2.83,8.4,2.64561,,0.0287,,0.08,3517.0,0.43,2.04
278,GJ 367 b,0.699,0.633,0.3219225,1365.0,0.00709,579.0,0.06,3522.0,0.458,10.2
279,GJ 367 c,1.86,4.13,11.5301,,,,0.09,3522.0,0.458,3.53
280,GJ 367 d,2.33,6.03,34.369,,,,0.14,3522.0,0.458,2.62
281,GJ 3779 b,2.75,8.0,3.0232,,0.026,,0.07,3324.0,0.281,2.11
282,GJ 3929 b,1.09,1.75,2.616235,568.0,0.0252,17.3,0.0,3384.0,0.32,7.3
