,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,pl_dens
3231,Kepler-1808 b,3.02511302,9.4,23.3404007,601.0,0.1467,30.94,0.0,5530.0,0.892,1.87
3232,Kepler-1809 b,1.513,2.9,3.7572999,877.0,0.04444,158.2,0.0,4901.0,0.716,4.6
3233,Kepler-181 b,1.27,2.15,3.137873,1041.0,0.04,255.584,0.0,5333.0,0.749,5.77
3234,Kepler-181 c,1.99,4.62,4.302149,937.0,0.049,168.188,0.0,5333.0,0.749,3.22
3235,Kepler-1810 b,3.91815325,14.6,101.1330032,380.0,0.4137,4.91,0.0,5492.0,1.016,1.33
3236,Kepler-1811 b,3.84829873,14.1,76.42230225,455.0,0.3462,10.11,0.0,5561.0,1.19,1.36
3237,Kepler-1812 b,2.3249424,6.01,7.165219784,1034.0,0.0765,270.34,0.0,6174.0,1.103,2.63
3238,Kepler-1813 b,1.413,2.58,2.818160057,1059.0,0.0364,298.2,0.0,5167.0,0.787,5.03
3239,Kepler-1814 b,2.36961357,6.21,2.935359955,1022.0,0.03765,216.9,0.0,4922.0,0.823,2.56
3240,Kepler-1814 c,1.76,3.75,0.626281766,1711.0,0.0133,2011.27,0.0,4922.0,0.823,3.78
3241,Kepler-1815 b,2.7489262,7.99,12.19139957,763.0,0.0984,80.01,0.0,5516.0,0.967,2.11
3242,Kepler-1816 b,1.9679397,4.53,91.50099945,310.0,0.35647,2.0,0.0,5051.0,0.706,3.27
3243,Kepler-1817 b,2.27349126,5.79,44.29919815,463.0,0.2348,10.85,0.0,5316.0,0.915,2.71
3244,Kepler-1818 b,1.71360684,3.58,4.644909859,1209.0,0.055,504.23,0.0,6047.0,1.129,3.91
3245,Kepler-1819 b,3.90351256,14.5,16.48690033,760.0,0.1337,78.99,0.0,6090.0,1.071,1.34
3246,Kepler-182 b,2.58,7.18,9.825792,935.0,0.096,239.787,0.0,6250.0,1.146,2.3
3247,Kepler-182 c,3.43,11.6,20.684342,729.0,0.157,88.852,0.0,6250.0,1.146,1.58
3248,Kepler-1820 b,3.11883067,9.9,31.03249931,561.0,0.1964,23.41,0.0,5841.0,0.931,1.79
3249,Kepler-1821 b,2.59248115,7.24,16.45809937,644.0,0.1244,40.61,0.0,5475.0,0.884,2.28
3250,Kepler-1822 b,2.64755943,7.5,22.13339996,507.0,0.1416,15.65,0.0,5165.0,0.702,2.22
3251,Kepler-1823 b,2.0861268,5.0,21.10339928,718.0,0.15332,78.0,0.0,6000.0,1.126,3.03
3252,Kepler-1824 b,2.38127597,6.26,95.61100006,421.0,0.4267,7.45,0.0,6002.0,1.081,2.55
3253,Kepler-1825 b,1.42200732,2.61,1.025869966,1520.0,0.0187,1264.7,0.0,5123.0,0.847,4.99
3254,Kepler-1826 b,1.47519116,2.78,1.615360022,806.0,0.0213,99.32,0.0,3821.0,0.486,4.76
3255,Kepler-1827 b,1.85644292,4.1,3.700619936,1329.0,0.04647,1113.4,0.0,5423.0,1.404,3.52
3256,Kepler-1828 b,2.11598626,5.13,10.2737999,799.0,0.0924,96.27,0.0,5806.0,0.899,2.98
3257,Kepler-1829 b,2.47887001,6.71,5.186719894,860.0,0.0559,129.37,0.0,5230.0,0.777,2.42
3258,Kepler-183 b,2.06,4.9,5.687945,1088.0,0.064,281.845,0.0,5888.0,0.958,3.08
3259,Kepler-183 c,2.27,35.7,11.637071,857.0,0.103,108.717,0.0,5888.0,0.958,16.8
3260,Kepler-1830 b,3.32992941,11.1,56.49330139,681.0,0.31769,35.8,0.0,6160.0,2.046,1.65
3261,Kepler-1831 b,1.97019818,4.54,5.78387022,1051.0,0.0655,288.69,0.0,6063.0,1.012,3.26
3262,Kepler-1832 b,1.22719556,2.02,3.138789892,1022.0,0.037,257.32,0.0,5242.0,0.722,6.01
3263,Kepler-1833 b,1.30027362,2.24,6.892129898,1177.0,0.07545,439.2,0.0,6164.0,1.446,5.6
3264,Kepler-1834 b,1.4593834,2.73,4.603010178,848.0,0.04911,105.2,0.0,4821.0,0.788,4.83
3265,Kepler-1834 c,1.22,1.98,0.766691517,1541.0,0.015,1334.22,0.0,4821.0,0.788,5.99
3266,Kepler-1835 b,3.53387773,12.2,11.96409988,808.0,0.0997,100.96,0.0,5903.0,0.961,1.52
3267,Kepler-1836 b,2.55303229,7.05,5.254169941,1093.0,0.0602,338.15,0.0,6123.0,0.987,2.33
3268,Kepler-1837 b,2.06673842,4.92,5.906089783,1012.0,0.065,247.83,0.0,5966.0,0.961,3.06
3269,Kepler-1838 b,1.66049425,3.4,12.14680004,1097.0,0.11082,271.6,0.0,5877.0,1.963,4.08
3270,Kepler-1839 b,1.9493759,4.46,5.056759834,1049.0,0.0583,286.32,0.0,5926.0,0.939,3.31
3271,Kepler-184 b,2.36,6.17,10.687576,780.0,0.092,70.361,0.0,5788.0,0.873,2.58
3272,Kepler-184 c,1.97,8.8,20.303005,630.0,0.141,29.875,0.0,5788.0,0.873,6.32
3273,Kepler-184 d,2.49,6.76,29.022358,559.0,0.179,18.557,0.0,5788.0,0.873,2.41
3274,Kepler-1840 b,2.77771129,8.13,131.1900024,284.0,0.46206,1.3,0.0,4898.0,0.803,2.08
3275,Kepler-1841 b,1.48912557,2.82,25.88599968,542.0,0.1606,20.35,0.0,5190.0,0.899,4.69
3276,Kepler-1842 b,2.35388681,6.14,14.02639961,822.0,0.116,108.07,0.0,5970.0,1.131,2.59
3277,Kepler-1843 b,2.70909809,7.8,25.54339981,772.0,0.17871,111.8,0.0,5422.0,1.782,2.16
3278,Kepler-1844 b,3.03648191,9.46,3.924510002,1074.0,0.0478,314.25,0.0,5776.0,0.849,1.86
3279,Kepler-1845 b,2.43836702,6.52,11.60649967,584.0,0.0885,27.47,0.0,4703.0,0.701,2.47
3280,Kepler-1846 b,1.76378826,3.76,14.82009983,552.0,0.11054,24.5,0.0,4825.0,0.732,3.77
3281,Kepler-1847 b,2.74516914,7.97,11.12969971,843.0,0.0989,119.44,0.0,6122.0,0.964,2.12
3282,Kepler-1848 b,1.4088539,2.57,5.604020119,774.0,0.05835,94.3,0.0,4847.0,0.737,5.05
3283,Kepler-1849 b,2.38685349,6.29,57.29290009,355.0,0.2597,3.76,0.0,4806.0,0.729,2.54
3284,Kepler-185 b,1.17,1.71,1.6329,1237.0,0.026,475.507,0.0,5208.0,0.806,5.87
3285,Kepler-185 c,2.02,4.74,20.729042,530.0,0.139,16.029,0.0,5208.0,0.806,3.16
3286,Kepler-1850 b,0.72909663,0.313,1.385800004,1008.0,0.0206,245.15,0.0,4239.0,0.6,4.44
3287,Kepler-1851 b,3.90012032,14.5,12.02289963,776.0,0.1016,85.78,0.0,5982.0,0.879,1.34
3288,Kepler-1852 b,1.88610592,4.22,7.970940113,760.0,0.0762,79.1,0.0,5237.0,0.826,3.46
3289,Kepler-1853 b,1.51862272,2.92,48.88819885,386.0,0.2395,5.23,0.0,4821.0,0.788,4.58
3290,Kepler-1854 b,2.58746104,7.21,39.83110046,420.0,0.20894,7.33,0.0,5026.0,0.759,2.29
3291,Kepler-1855 b,1.216205,1.96,0.727330983,849.0,0.0115,86.97,0.0,3460.0,0.356,5.99
3292,Kepler-1856 b,1.73447868,3.66,1.302000046,1344.0,0.0215,772.73,0.0,4948.0,0.816,3.85
3293,Kepler-1857 b,1.96065412,4.5,8.94340992,946.0,0.08308,217.4,0.0,6074.0,1.005,3.28
3294,Kepler-1858 b,2.42168247,6.44,88.07160187,330.0,0.3575,2.79,0.0,4939.0,0.819,2.49
3295,Kepler-1859 b,1.58313575,3.13,2.729599953,1455.0,0.0394,1056.15,0.0,5887.0,1.235,4.33
3296,Kepler-1859 c,1.66,3.39,3.59645081,1327.0,0.0473,732.82,0.0,5887.0,1.235,4.07
3297,Kepler-186 b,1.07,1.24,3.8867907,571.0,0.0343,37.372,0.0,3788.0,0.472,5.56
3298,Kepler-186 c,1.25,2.1,7.267302,464.0,0.0451,13.98,0.0,3788.0,0.472,5.91
3299,Kepler-186 d,1.4,2.54,13.342996,379.0,0.0781,7.204,0.0,3788.0,0.472,5.09
3300,Kepler-186 e,1.27,2.15,22.407704,319.0,0.11,3.608,0.0,3788.0,0.472,5.77
3301,Kepler-186 f,1.17,1.71,129.9441,177.0,0.432,0.3,0.04,3755.0,0.523,5.87
